name,definition
cornstarch,"Cornstarch is a complex carbohydrate composed of chains of glucose molecules. It has widespread industrial applications, such as paper, textiles, batteries, diapers and a variety of food products."
dextrins,"Dextrins are a roasted form of starch and are used for their adhesive and thickening properties. Dextrins’ adhesive properties make them key components in corrugated board and paper bags. They are also found in a variety of food items such as baked goods, prepared mixes, frozen desserts and other dairy products."
maltodextrins,"Maltodextrins are made from starch that has been treated with acids and/or enzymes to produce low conversion syrups that are usually spray dried to create free-flowing powders. They are used for their bulking benefits and as complex carbohydrates in many applications. Maltodextrins provide energy, texture and moisture, and they help evenly disperse ingredients in items such as protein bars, meal replacement drinks and dried soups."
corn syrup,"Corn syrups are made from starch that has been partially reduced in size by a combination of low pH and naturally-occurring enzymes to produce syrups that are primarily glucose polymers of varying lengths. They have low to mild sweetness and are used for thickening, texture, clarity and sheen in food applications such as cereal bars, ice cream, salad dressings and canned fruits."
dextrose,"Dextrose (or glucose) is a monosaccharide sugar notable for its mild sweetness, texture, bulking ability and white color. It is used in a variety of food and confectionery applications. It is increasingly used in fermentations as a source of energy for microorganisms producing vitamins, amino and organic acids, antibiotics, ethanol, food colorants, renewable substitutes for petrochemical feedstocks and a host of other materials."
high fructose corn syrup,"HFCS is very similar to sucrose (table sugar) and honey. It is composed of either 42% or 55% fructose, with the remaining sugars being primarily glucose and small amounts of higher sugars. HFCS enhances flavor and stability and is found in numerous consumer foods and beverages."
corn oil,"Corn oil is made from the oil-rich germ of the corn kernel. It is used mainly in cooking oil, salad oil and margarine."
ethanol,Ethanol is a pure alcohol produced by fermenting glucose derived from corn starch. It is a renewable alternative to petroleum-based fuels and is used as an oxygenate (octane enhancer) when blended with gasoline for automotive use. It is also used increasingly in pharmaceutical and cosmetic formulations.
citric acid,Citric acid is derived from the fermentation of dextrose. It is used for its tart flavor in confectionery and beverages and serves as a preservative in many food products.
lactic acid,"Lactic acid is derived from the fermentation of dextrose. It is used for its flavor and preservative qualities. It also can be converted to polylactic acid, which can be made into biodegradable plastic."
polyol,"Polyols are low-calorie sweeteners derived from the hydrogenation of various corn sweeteners. They have fewer calories than sucrose, do not promote tooth decay and elicit a low glycemic response, which makes them important ingredients in foods and beverages formulated for diabetics and oral care products like toothpaste and reduced-calorie gum."
xanthan gums,"Xanthan gum is derived from the fermentation of glucose. It provides stability, retains moisture, enhances flavors and improves texture in items such as dressings, sauces and dairy foods."